OutputID,OutputName,OutputType,OutputTier,BuildingResourceTier,ConstructionTime,PlanetTypes,Factions,ResourceType,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7
volcanic-storage-module-t5,Storage Module,BUILDING,5,1,360,Volcanic Planet,MUD;ONI;USTUR,Infrastructure,,Graphene,51,Lumanite,42,Neodymium,32,Protective Coating,36,Heat Circulation Pipes,32,Pump Assembly,30,Structural Shell,27
dodiline-matrix-processor-t1,Dodiline Matrix Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,Power Management Core,13,,,,,,,,
dodiline-matrix-processor-t2,Dodiline Matrix Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,23,Abyssal Energy Core,20,Power Management Core,16,Fire Control Core,15,,,,,,
dodiline-matrix-processor-t3,Dodiline Matrix Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,28,Abyssal Energy Core,24,Power Management Core,19,Fire Control Core,18,Dodiline Matrix,17,,,,
dodiline-matrix-processor-t4,Dodiline Matrix Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,34,Abyssal Energy Core,29,Power Management Core,23,Fire Control Core,22,Dodiline Matrix,20,Energy Substrate,19,,
dodiline-matrix-processor-t5,Dodiline Matrix Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,40,Abyssal Energy Core,35,Power Management Core,27,Fire Control Core,26,Dodiline Matrix,24,Energy Substrate,23,Kinetic Support Matrix,21
em-weapon-interface-processor-t1,EM Weapon Interface Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Steel,21,Aerogel,18,Capacitor Matrix Core,15,,,,,,,,
em-weapon-interface-processor-t2,EM Weapon Interface Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Steel,26,Aerogel,22,Capacitor Matrix Core,18,Platinum,17,,,,,,
em-weapon-interface-processor-t3,EM Weapon Interface Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Steel,31,Aerogel,27,Capacitor Matrix Core,22,Platinum,20,Warp Control Core,19,,,,
em-weapon-interface-processor-t4,EM Weapon Interface Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Steel,38,Aerogel,32,Capacitor Matrix Core,26,Platinum,24,Warp Control Core,23,Fuel Control Core,21,,
em-weapon-interface-processor-t5,EM Weapon Interface Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Steel,44,Aerogel,38,Capacitor Matrix Core,31,Platinum,29,Warp Control Core,28,Fuel Control Core,25,Plasma Cell,23
iridium-processor-t1,Iridium Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,Power Management Core,13,,,,,,,,
iridium-processor-t2,Iridium Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,23,Abyssal Energy Core,19,Power Management Core,16,Rhodium Power Core,15,,,,,,
iridium-processor-t3,Iridium Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,28,Abyssal Energy Core,23,Power Management Core,19,Rhodium Power Core,18,Quantum Processor,17,,,,
iridium-processor-t4,Iridium Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,33,Abyssal Energy Core,28,Power Management Core,22,Rhodium Power Core,22,Quantum Processor,21,Fire Control Core,19,,
iridium-processor-t5,Iridium Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,39,Abyssal Energy Core,33,Power Management Core,26,Rhodium Power Core,26,Quantum Processor,26,Fire Control Core,22,Iridium,21
iridium-armor-plating-processor-t1,Iridium Armor Plating Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,Iridium,13,,,,,,,,
iridium-armor-plating-processor-t2,Iridium Armor Plating Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,23,Abyssal Energy Core,20,Iridium,15,Dodiline Matrix,15,,,,,,
iridium-armor-plating-processor-t3,Iridium Armor Plating Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,28,Abyssal Energy Core,24,Iridium,18,Dodiline Matrix,18,Quantum Processor,17,,,,
iridium-armor-plating-processor-t4,Iridium Armor Plating Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,34,Abyssal Energy Core,29,Iridium,22,Dodiline Matrix,22,Quantum Processor,20,Iridium Armor Plating,19,,
iridium-armor-plating-processor-t5,Iridium Armor Plating Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,41,Abyssal Energy Core,35,Iridium,26,Dodiline Matrix,27,Quantum Processor,24,Iridium Armor Plating,23,Kinetic Support Matrix,21
luminous-shield-matrix-processor-t1,Luminous Shield Matrix Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,21,Platinum,18,Capacitor Matrix Core,15,,,,,,,,
luminous-shield-matrix-processor-t2,Luminous Shield Matrix Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,25,Platinum,22,Capacitor Matrix Core,18,Steel,17,,,,,,
luminous-shield-matrix-processor-t3,Luminous Shield Matrix Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,30,Platinum,26,Capacitor Matrix Core,22,Steel,20,Palladium Conductor,19,,,,
luminous-shield-matrix-processor-t4,Luminous Shield Matrix Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,36,Platinum,32,Capacitor Matrix Core,26,Steel,24,Palladium Conductor,23,Palladium,21,,
luminous-shield-matrix-processor-t5,Luminous Shield Matrix Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,42,Platinum,38,Capacitor Matrix Core,31,Steel,29,Palladium Conductor,28,Palladium,25,Energy Management Hub,23
palladium-processor-t1,Palladium Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Platinum,21,Capacitor Matrix Core,18,Aerogel,15,,,,,,,,
palladium-processor-t2,Palladium Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Platinum,25,Capacitor Matrix Core,22,Aerogel,18,Steel,17,,,,,,
palladium-processor-t3,Palladium Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Platinum,30,Capacitor Matrix Core,27,Aerogel,21,Steel,20,Neural Interface,19,,,,
palladium-processor-t4,Palladium Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Platinum,35,Capacitor Matrix Core,32,Aerogel,25,Steel,24,Neural Interface,23,Core Stabilizer,21,,
palladium-processor-t5,Palladium Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Platinum,41,Capacitor Matrix Core,38,Aerogel,30,Steel,29,Neural Interface,27,Core Stabilizer,25,EMP Matrix Core,23
palladium-conductor-processor-t1,Palladium Conductor Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,21,Platinum,18,Capacitor Matrix Core,15,,,,,,,,
palladium-conductor-processor-t2,Palladium Conductor Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,26,Platinum,22,Capacitor Matrix Core,18,Steel,17,,,,,,
palladium-conductor-processor-t3,Palladium Conductor Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,31,Platinum,26,Capacitor Matrix Core,22,Steel,21,Plasma Cell,19,,,,
palladium-conductor-processor-t4,Palladium Conductor Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,37,Platinum,31,Capacitor Matrix Core,27,Steel,25,Plasma Cell,23,Neural Interface,21,,
palladium-conductor-processor-t5,Palladium Conductor Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,44,Platinum,37,Capacitor Matrix Core,32,Steel,30,Plasma Cell,27,Neural Interface,25,Heat Dissipator,23
plasma-cell-processor-t1,Plasma Cell Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,21,Aerogel,18,Steel,15,,,,,,,,
plasma-cell-processor-t2,Plasma Cell Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,25,Aerogel,21,Steel,18,Platinum,17,,,,,,
plasma-cell-processor-t3,Plasma Cell Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,30,Aerogel,25,Steel,22,Platinum,20,Maneuver Control Core,19,,,,
plasma-cell-processor-t4,Plasma Cell Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,36,Aerogel,30,Steel,26,Platinum,24,Maneuver Control Core,23,Palladium,21,,
plasma-cell-processor-t5,Plasma Cell Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,43,Aerogel,35,Steel,31,Platinum,29,Maneuver Control Core,27,Palladium,25,Warp Control Core,23
platinum-processor-t1,Platinum Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,21,Aerogel,18,Platinum,15,,,,,,,,
platinum-processor-t2,Platinum Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,25,Aerogel,22,Platinum,18,Steel,17,,,,,,
platinum-processor-t3,Platinum Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,30,Aerogel,27,Platinum,21,Steel,20,Structural Joint,19,,,,
platinum-processor-t4,Platinum Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,35,Aerogel,32,Platinum,25,Steel,24,Structural Joint,23,Palladium Conductor,21,,
platinum-processor-t5,Platinum Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Capacitor Matrix Core,41,Aerogel,39,Platinum,29,Steel,28,Structural Joint,27,Palladium Conductor,25,Energy Management Hub,23
platinum-grid-processor-t1,Platinum Grid Processor,BUILDING,1,3,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,21,Steel,18,Platinum,15,,,,,,,,
platinum-grid-processor-t2,Platinum Grid Processor,BUILDING,2,3,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,26,Steel,21,Platinum,18,Capacitor Matrix Core,17,,,,,,
platinum-grid-processor-t3,Platinum Grid Processor,BUILDING,3,3,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,31,Steel,26,Platinum,21,Capacitor Matrix Core,21,EMP Matrix Core,19,,,,
platinum-grid-processor-t4,Platinum Grid Processor,BUILDING,4,3,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,36,Steel,31,Platinum,25,Capacitor Matrix Core,25,EMP Matrix Core,23,Energy Crystal Matrix,21,,
platinum-grid-processor-t5,Platinum Grid Processor,BUILDING,5,3,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Aerogel,42,Steel,37,Platinum,30,Capacitor Matrix Core,30,EMP Matrix Core,27,Energy Crystal Matrix,25,Palladium Conductor,23
rhodium-processor-t1,Rhodium Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,Radiation Absorber,13,,,,,,,,
rhodium-processor-t2,Rhodium Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,23,Abyssal Energy Core,19,Radiation Absorber,16,Dodiline Matrix,15,,,,,,
rhodium-processor-t3,Rhodium Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,27,Abyssal Energy Core,23,Radiation Absorber,20,Dodiline Matrix,18,Fire Control Core,17,,,,
rhodium-processor-t4,Rhodium Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,33,Abyssal Energy Core,28,Radiation Absorber,24,Dodiline Matrix,21,Fire Control Core,20,Iridium,19,,
rhodium-processor-t5,Rhodium Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,39,Abyssal Energy Core,34,Radiation Absorber,29,Dodiline Matrix,25,Fire Control Core,24,Iridium,22,Kinetic Support Matrix,21
rhodium-power-core-processor-t1,Rhodium Power Core Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,19,Electromagnetic Resonator,16,Iridium,13,,,,,,,,
rhodium-power-core-processor-t2,Rhodium Power Core Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,23,Electromagnetic Resonator,19,Iridium,16,Fire Control Core,15,,,,,,
rhodium-power-core-processor-t3,Rhodium Power Core Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,27,Electromagnetic Resonator,23,Iridium,19,Fire Control Core,18,Quantum Processor,17,,,,
rhodium-power-core-processor-t4,Rhodium Power Core Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,32,Electromagnetic Resonator,28,Iridium,22,Fire Control Core,21,Quantum Processor,21,Kinetic Stabilizer Core,19,,
rhodium-power-core-processor-t5,Rhodium Power Core Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,38,Electromagnetic Resonator,34,Iridium,26,Fire Control Core,25,Quantum Processor,25,Kinetic Stabilizer Core,23,Energy Substrate,21
rhodium-weapon-matrix-processor-t1,Rhodium Weapon Matrix Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,19,Electromagnetic Resonator,16,Quantum Processor,13,,,,,,,,
rhodium-weapon-matrix-processor-t2,Rhodium Weapon Matrix Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,23,Electromagnetic Resonator,19,Quantum Processor,16,Power Management Core,15,,,,,,
rhodium-weapon-matrix-processor-t3,Rhodium Weapon Matrix Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,27,Electromagnetic Resonator,23,Quantum Processor,19,Power Management Core,18,Fire Control Core,17,,,,
rhodium-weapon-matrix-processor-t4,Rhodium Weapon Matrix Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,32,Electromagnetic Resonator,27,Quantum Processor,23,Power Management Core,22,Fire Control Core,21,Dodiline Matrix,19,,
rhodium-weapon-matrix-processor-t5,Rhodium Weapon Matrix Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Abyssal Energy Core,38,Electromagnetic Resonator,32,Quantum Processor,28,Power Management Core,27,Fire Control Core,25,Dodiline Matrix,23,Iridium Armor Plating,21
weapon-amplifier-processor-t1,Weapon Amplifier Processor,BUILDING,1,4,60,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,19,Abyssal Energy Core,16,Iridium,13,,,,,,,,
weapon-amplifier-processor-t2,Weapon Amplifier Processor,BUILDING,2,4,45,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,22,Abyssal Energy Core,19,Iridium,16,Fire Control Core,15,,,,,,
weapon-amplifier-processor-t3,Weapon Amplifier Processor,BUILDING,3,4,30,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,26,Abyssal Energy Core,23,Iridium,19,Fire Control Core,18,Iridium Armor Plating,17,,,,
weapon-amplifier-processor-t4,Weapon Amplifier Processor,BUILDING,4,4,25,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,31,Abyssal Energy Core,28,Iridium,23,Fire Control Core,21,Iridium Armor Plating,20,Radiation Absorber,19,,
weapon-amplifier-processor-t5,Weapon Amplifier Processor,BUILDING,5,4,20,Volcanic Planet,MUD;ONI;USTUR,Processing,1,Electromagnetic Resonator,37,Abyssal Energy Core,33,Iridium,27,Fire Control Core,26,Iridium Armor Plating,24,Radiation Absorber,22,Rhodium,21
cinnabar-crystals-extractor-t1,Cinnabar Crystals Extractor,BUILDING,1,3,180,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,21,Aerogel,18,Capacitor Matrix Core,15,,,,,,,,
cinnabar-crystals-extractor-t2,Cinnabar Crystals Extractor,BUILDING,2,3,150,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,25,Aerogel,21,Capacitor Matrix Core,18,Steel,17,,,,,,
cinnabar-crystals-extractor-t3,Cinnabar Crystals Extractor,BUILDING,3,3,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,30,Aerogel,25,Capacitor Matrix Core,21,Steel,21,EMP Matrix Core,19,,,,
cinnabar-crystals-extractor-t4,Cinnabar Crystals Extractor,BUILDING,4,3,100,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,36,Aerogel,30,Capacitor Matrix Core,25,Steel,26,EMP Matrix Core,23,Palladium Conductor,21,,
cinnabar-crystals-extractor-t5,Cinnabar Crystals Extractor,BUILDING,5,3,80,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,43,Aerogel,35,Capacitor Matrix Core,30,Steel,30,EMP Matrix Core,27,Palladium Conductor,26,Processing Control Core,23
dodiline-crystals-extractor-t1,Dodiline Crystals Extractor,BUILDING,1,4,300,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Electromagnetic Resonator,19,Abyssal Energy Core,16,Radiation Absorber,13,,,,,,,,
dodiline-crystals-extractor-t2,Dodiline Crystals Extractor,BUILDING,2,4,250,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Electromagnetic Resonator,23,Abyssal Energy Core,20,Radiation Absorber,16,Quantum Processor,15,,,,,,
dodiline-crystals-extractor-t3,Dodiline Crystals Extractor,BUILDING,3,4,200,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Electromagnetic Resonator,28,Abyssal Energy Core,24,Radiation Absorber,19,Quantum Processor,18,Energy Substrate,17,,,,
dodiline-crystals-extractor-t4,Dodiline Crystals Extractor,BUILDING,4,4,160,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Electromagnetic Resonator,33,Abyssal Energy Core,29,Radiation Absorber,23,Quantum Processor,22,Energy Substrate,21,Navigation Control Core,19,,
dodiline-crystals-extractor-t5,Dodiline Crystals Extractor,BUILDING,5,4,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Electromagnetic Resonator,39,Abyssal Energy Core,34,Radiation Absorber,28,Quantum Processor,27,Energy Substrate,25,Navigation Control Core,23,Power Management Core,21
glowstone-crystals-extractor-t1,Glowstone Crystals Extractor,BUILDING,1,3,180,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Aerogel,21,Platinum,18,Steel,15,,,,,,,,
glowstone-crystals-extractor-t2,Glowstone Crystals Extractor,BUILDING,2,3,150,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Aerogel,25,Platinum,22,Steel,18,Capacitor Matrix Core,17,,,,,,
glowstone-crystals-extractor-t3,Glowstone Crystals Extractor,BUILDING,3,3,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Aerogel,30,Platinum,26,Steel,22,Capacitor Matrix Core,20,Palladium Conductor,19,,,,
glowstone-crystals-extractor-t4,Glowstone Crystals Extractor,BUILDING,4,3,100,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Aerogel,36,Platinum,31,Steel,26,Capacitor Matrix Core,24,Palladium Conductor,23,EMP Matrix Core,21,,
glowstone-crystals-extractor-t5,Glowstone Crystals Extractor,BUILDING,5,3,80,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Aerogel,43,Platinum,37,Steel,30,Capacitor Matrix Core,29,Palladium Conductor,28,EMP Matrix Core,25,Thermal Core Assembly,23
iridium-ore-extractor-t1,Iridium Ore Extractor,BUILDING,1,4,300,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Abyssal Energy Core,19,Electromagnetic Resonator,16,Kinetic Support Matrix,13,,,,,,,,
iridium-ore-extractor-t2,Iridium Ore Extractor,BUILDING,2,4,250,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Abyssal Energy Core,22,Electromagnetic Resonator,19,Kinetic Support Matrix,15,Energy Substrate,15,,,,,,
iridium-ore-extractor-t3,Iridium Ore Extractor,BUILDING,3,4,200,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Abyssal Energy Core,27,Electromagnetic Resonator,23,Kinetic Support Matrix,18,Energy Substrate,18,Launch Control Core,17,,,,
iridium-ore-extractor-t4,Iridium Ore Extractor,BUILDING,4,4,160,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Abyssal Energy Core,32,Electromagnetic Resonator,28,Kinetic Support Matrix,22,Energy Substrate,22,Launch Control Core,20,Dodiline Matrix,19,,
iridium-ore-extractor-t5,Iridium Ore Extractor,BUILDING,5,4,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Abyssal Energy Core,38,Electromagnetic Resonator,33,Kinetic Support Matrix,26,Energy Substrate,26,Launch Control Core,24,Dodiline Matrix,23,Radiation Absorber,21
magma-heart-bryophyte-extractor-t1,Magma Heart Bryophyte Extractor,BUILDING,1,1,90,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Carbon,25,Lumanite,20,Neodymium,15,,,,,,,,
magma-heart-bryophyte-extractor-t2,Magma Heart Bryophyte Extractor,BUILDING,2,1,75,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Graphene,30,Lumanite,24,Neodymium,18,Heat Exchange Coils,21,,,,,,
magma-heart-bryophyte-extractor-t3,Magma Heart Bryophyte Extractor,BUILDING,3,1,60,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Graphene,35,Lumanite,29,Neodymium,22,Heat Exchange Coils,25,Barrier Material,23,,,,
magma-heart-bryophyte-extractor-t4,Magma Heart Bryophyte Extractor,BUILDING,4,1,50,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Graphene,42,Lumanite,34,Neodymium,27,Heat Exchange Coils,30,Barrier Material,28,Exotic Matter Core,25,,
magma-heart-bryophyte-extractor-t5,Magma Heart Bryophyte Extractor,BUILDING,5,1,40,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Graphene,50,Lumanite,40,Neodymium,32,Heat Exchange Coils,36,Barrier Material,33,Exotic Matter Core,30,Core Stabilizer,27
palladium-ore-extractor-t1,Palladium Ore Extractor,BUILDING,1,3,180,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,21,Steel,18,Capacitor Matrix Core,15,,,,,,,,
palladium-ore-extractor-t2,Palladium Ore Extractor,BUILDING,2,3,150,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,26,Steel,22,Capacitor Matrix Core,18,Aerogel,17,,,,,,
palladium-ore-extractor-t3,Palladium Ore Extractor,BUILDING,3,3,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,31,Steel,26,Capacitor Matrix Core,22,Aerogel,20,Energy Management Hub,19,,,,
palladium-ore-extractor-t4,Palladium Ore Extractor,BUILDING,4,3,100,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,37,Steel,32,Capacitor Matrix Core,27,Aerogel,24,Energy Management Hub,22,EMP Matrix Core,21,,
palladium-ore-extractor-t5,Palladium Ore Extractor,BUILDING,5,3,80,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,44,Steel,39,Capacitor Matrix Core,32,Aerogel,29,Energy Management Hub,27,EMP Matrix Core,25,Palladium,23
plasma-containment-minerals-extractor-t1,Plasma Containment Minerals Extractor,BUILDING,1,3,180,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,21,Aerogel,18,Capacitor Matrix Core,15,,,,,,,,
plasma-containment-minerals-extractor-t2,Plasma Containment Minerals Extractor,BUILDING,2,3,150,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,26,Aerogel,22,Capacitor Matrix Core,18,Steel,17,,,,,,
plasma-containment-minerals-extractor-t3,Plasma Containment Minerals Extractor,BUILDING,3,3,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,31,Aerogel,27,Capacitor Matrix Core,21,Steel,21,Fuel Control Core,19,,,,
plasma-containment-minerals-extractor-t4,Plasma Containment Minerals Extractor,BUILDING,4,3,100,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,37,Aerogel,32,Capacitor Matrix Core,25,Steel,25,Fuel Control Core,23,Maneuver Control Core,21,,
plasma-containment-minerals-extractor-t5,Plasma Containment Minerals Extractor,BUILDING,5,3,80,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Platinum,44,Aerogel,39,Capacitor Matrix Core,30,Steel,30,Fuel Control Core,27,Maneuver Control Core,25,EMP Matrix Core,23
platinum-ore-extractor-t1,Platinum Ore Extractor,BUILDING,1,3,180,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Steel,21,Aerogel,18,Capacitor Matrix Core,15,,,,,,,,
platinum-ore-extractor-t2,Platinum Ore Extractor,BUILDING,2,3,150,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Steel,25,Aerogel,22,Capacitor Matrix Core,18,Platinum,17,,,,,,
platinum-ore-extractor-t3,Platinum Ore Extractor,BUILDING,3,3,120,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Steel,30,Aerogel,26,Capacitor Matrix Core,22,Platinum,21,Suppression Hub Core,19,,,,
platinum-ore-extractor-t4,Platinum Ore Extractor,BUILDING,4,3,100,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Steel,35,Aerogel,32,Capacitor Matrix Core,27,Platinum,25,Suppression Hub Core,23,Energy Management Hub,21,,
platinum-ore-extractor-t5,Platinum Ore Extractor,BUILDING,5,3,80,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Steel,41,Aerogel,38,Capacitor Matrix Core,32,Platinum,30,Suppression Hub Core,27,Energy Management Hub,25,Sensor Hub Core,23
pyroclast-energen-extractor-t1,Pyroclast Energen Extractor,BUILDING,1,1,90,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Carbon,25,Lumanite,20,Neodymium,15,,,,,,,,
pyroclast-energen-extractor-t2,Pyroclast Energen Extractor,BUILDING,2,1,75,Volcanic Planet,MUD;ONI;USTUR,Extraction,,Graphene,30,Lumanite,24,Neodymium,18,Barrier Material,21,,,,,,
