OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,UsageCategory,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,CompletionStatus,InternalRecipeID,ProductionSteps,NOT_USED
countermeasure-negative-rem-plating-l-t2,Negative Rem Plating L T2,COUNTERMEASURES,2,720,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating L T1,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-l-t3,Negative Rem Plating L T3,COUNTERMEASURES,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating L T2,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-l-t4,Negative Rem Plating L T4,COUNTERMEASURES,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating L T3,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,9,FALSE
countermeasure-negative-rem-plating-l-t5,Negative Rem Plating L T5,COUNTERMEASURES,5,7200,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating L T4,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,10,FALSE
countermeasure-negative-rem-plating-m-t1,Negative Rem Plating M T1,COUNTERMEASURES,1,300,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,,,complete,,6,FALSE
countermeasure-negative-rem-plating-m-t2,Negative Rem Plating M T2,COUNTERMEASURES,2,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating M T1,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-m-t3,Negative Rem Plating M T3,COUNTERMEASURES,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating M T2,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-m-t4,Negative Rem Plating M T4,COUNTERMEASURES,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating M T3,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,9,FALSE
countermeasure-negative-rem-plating-m-t5,Negative Rem Plating M T5,COUNTERMEASURES,5,6000,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating M T4,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,,,,,,,,,complete,,10,FALSE
countermeasure-negative-rem-plating-s-t1,Negative Rem Plating S T1,COUNTERMEASURES,1,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-negative-rem-plating-s-t2,Negative Rem Plating S T2,COUNTERMEASURES,2,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating S T1,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,6,FALSE
countermeasure-negative-rem-plating-s-t3,Negative Rem Plating S T3,COUNTERMEASURES,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating S T2,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-s-t4,Negative Rem Plating S T4,COUNTERMEASURES,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating S T3,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-s-t5,Negative Rem Plating S T5,COUNTERMEASURES,5,4800,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating S T4,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,9,FALSE
countermeasure-negative-rem-plating-ttn-t1,Negative Rem Plating TTN T1,COUNTERMEASURES,1,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-ttn-t2,Negative Rem Plating TTN T2,COUNTERMEASURES,2,1200,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating TTN T1,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,9,FALSE
countermeasure-negative-rem-plating-ttn-t3,Negative Rem Plating TTN T3,COUNTERMEASURES,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating TTN T2,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,10,FALSE
countermeasure-negative-rem-plating-ttn-t4,Negative Rem Plating TTN T4,COUNTERMEASURES,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating TTN T3,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,11,FALSE
countermeasure-negative-rem-plating-ttn-t5,Negative Rem Plating TTN T5,COUNTERMEASURES,5,12000,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating TTN T4,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,Radiation Control System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,12,FALSE
countermeasure-negative-rem-plating-xs-t1,Negative Rem Plating XS T1,COUNTERMEASURES,1,180,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-negative-rem-plating-xs-t2,Negative Rem Plating XS T2,COUNTERMEASURES,2,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating XS T1,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,6,FALSE
countermeasure-negative-rem-plating-xs-t3,Negative Rem Plating XS T3,COUNTERMEASURES,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating XS T2,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-xs-t4,Negative Rem Plating XS T4,COUNTERMEASURES,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating XS T3,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-xs-t5,Negative Rem Plating XS T5,COUNTERMEASURES,5,3600,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating XS T4,1,Radiation Shield,1,Protective Layer,1,Absorption Matrix,1,,,,,,,,,,,complete,,9,FALSE
countermeasure-negative-rem-plating-xxs-t1,Negative Rem Plating XXS T1,COUNTERMEASURES,1,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-negative-rem-plating-xxs-t2,Negative Rem Plating XXS T2,COUNTERMEASURES,2,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating XXS T1,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-negative-rem-plating-xxs-t3,Negative Rem Plating XXS T3,COUNTERMEASURES,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating XXS T2,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,6,FALSE
countermeasure-negative-rem-plating-xxs-t4,Negative Rem Plating XXS T4,COUNTERMEASURES,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating XXS T3,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-xxs-t5,Negative Rem Plating XXS T5,COUNTERMEASURES,5,2400,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating XXS T4,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,8,FALSE
countermeasure-negative-rem-plating-xxxs-t1,Negative Rem Plating XXXS T1,COUNTERMEASURES,1,60,Terrestrial Planet,MUD;ONI;USTUR,,,,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-negative-rem-plating-xxxs-t2,Negative Rem Plating XXXS T2,COUNTERMEASURES,2,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Negative Rem Plating XXXS T1,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-negative-rem-plating-xxxs-t3,Negative Rem Plating XXXS T3,COUNTERMEASURES,3,300,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Negative Rem Plating XXXS T2,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,6,FALSE
countermeasure-negative-rem-plating-xxxs-t4,Negative Rem Plating XXXS T4,COUNTERMEASURES,4,600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Negative Rem Plating XXXS T3,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,7,FALSE
countermeasure-negative-rem-plating-xxxs-t5,Negative Rem Plating XXXS T5,COUNTERMEASURES,5,1200,Volcanic Planet;Ice Planet,USTUR,,,,Negative Rem Plating XXXS T4,1,Radiation Shield,1,Protective Layer,1,,,,,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-cap-t1,Warming Plates CAP T1,COUNTERMEASURES,1,420,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-cap-t2,Warming Plates CAP T2,COUNTERMEASURES,2,840,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates CAP T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-cap-t3,Warming Plates CAP T3,COUNTERMEASURES,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates CAP T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,9,FALSE
countermeasure-warming-plates-cap-t4,Warming Plates CAP T4,COUNTERMEASURES,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates CAP T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,10,FALSE
countermeasure-warming-plates-cap-t5,Warming Plates CAP T5,COUNTERMEASURES,5,8400,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates CAP T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,11,FALSE
countermeasure-warming-plates-class8-t1,Warming Plates CLASS8 T1,COUNTERMEASURES,1,540,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-class8-t2,Warming Plates CLASS8 T2,COUNTERMEASURES,2,1080,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates CLASS8 T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,9,FALSE
countermeasure-warming-plates-class8-t3,Warming Plates CLASS8 T3,COUNTERMEASURES,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates CLASS8 T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,10,FALSE
countermeasure-warming-plates-class8-t4,Warming Plates CLASS8 T4,COUNTERMEASURES,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates CLASS8 T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,11,FALSE
countermeasure-warming-plates-class8-t5,Warming Plates CLASS8 T5,COUNTERMEASURES,5,10800,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates CLASS8 T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,12,FALSE
countermeasure-warming-plates-cmd-t1,Warming Plates CMD T1,COUNTERMEASURES,1,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-cmd-t2,Warming Plates CMD T2,COUNTERMEASURES,2,960,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates CMD T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-cmd-t3,Warming Plates CMD T3,COUNTERMEASURES,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates CMD T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,9,FALSE
countermeasure-warming-plates-cmd-t4,Warming Plates CMD T4,COUNTERMEASURES,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates CMD T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,10,FALSE
countermeasure-warming-plates-cmd-t5,Warming Plates CMD T5,COUNTERMEASURES,5,9600,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates CMD T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,,,,,,,complete,,11,FALSE
countermeasure-warming-plates-l-t1,Warming Plates L T1,COUNTERMEASURES,1,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-l-t2,Warming Plates L T2,COUNTERMEASURES,2,720,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates L T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-l-t3,Warming Plates L T3,COUNTERMEASURES,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates L T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-l-t4,Warming Plates L T4,COUNTERMEASURES,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates L T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-l-t5,Warming Plates L T5,COUNTERMEASURES,5,7200,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates L T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,9,FALSE
countermeasure-warming-plates-m-t1,Warming Plates M T1,COUNTERMEASURES,1,300,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-m-t2,Warming Plates M T2,COUNTERMEASURES,2,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates M T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-m-t3,Warming Plates M T3,COUNTERMEASURES,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates M T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-m-t4,Warming Plates M T4,COUNTERMEASURES,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates M T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-m-t5,Warming Plates M T5,COUNTERMEASURES,5,6000,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates M T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,,,,,,,,,complete,,9,FALSE
countermeasure-warming-plates-s-t1,Warming Plates S T1,COUNTERMEASURES,1,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-warming-plates-s-t2,Warming Plates S T2,COUNTERMEASURES,2,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates S T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-s-t3,Warming Plates S T3,COUNTERMEASURES,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates S T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-s-t4,Warming Plates S T4,COUNTERMEASURES,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates S T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-s-t5,Warming Plates S T5,COUNTERMEASURES,5,4800,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates S T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-ttn-t1,Warming Plates TTN T1,COUNTERMEASURES,1,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-ttn-t2,Warming Plates TTN T2,COUNTERMEASURES,2,1200,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates TTN T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,9,FALSE
countermeasure-warming-plates-ttn-t3,Warming Plates TTN T3,COUNTERMEASURES,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates TTN T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,10,FALSE
countermeasure-warming-plates-ttn-t4,Warming Plates TTN T4,COUNTERMEASURES,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates TTN T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,11,FALSE
countermeasure-warming-plates-ttn-t5,Warming Plates TTN T5,COUNTERMEASURES,5,12000,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates TTN T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,Thermal Management System,1,Advanced Defense Matrix,1,Titan Defense Network,1,,,,,complete,,12,FALSE
countermeasure-warming-plates-xs-t1,Warming Plates XS T1,COUNTERMEASURES,1,180,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-warming-plates-xs-t2,Warming Plates XS T2,COUNTERMEASURES,2,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates XS T1,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-xs-t3,Warming Plates XS T3,COUNTERMEASURES,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates XS T2,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-xs-t4,Warming Plates XS T4,COUNTERMEASURES,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates XS T3,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-xs-t5,Warming Plates XS T5,COUNTERMEASURES,5,3600,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates XS T4,1,Heating Element,1,Thermal Distribution,1,Temperature Control,1,,,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-xxs-t1,Warming Plates XXS T1,COUNTERMEASURES,1,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-warming-plates-xxs-t2,Warming Plates XXS T2,COUNTERMEASURES,2,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates XXS T1,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-xxs-t3,Warming Plates XXS T3,COUNTERMEASURES,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates XXS T2,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-xxs-t4,Warming Plates XXS T4,COUNTERMEASURES,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates XXS T3,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-xxs-t5,Warming Plates XXS T5,COUNTERMEASURES,5,2400,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates XXS T4,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,8,FALSE
countermeasure-warming-plates-xxxs-t1,Warming Plates XXXS T1,COUNTERMEASURES,1,60,Terrestrial Planet,MUD;ONI;USTUR,,,,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,,,complete,,4,FALSE
countermeasure-warming-plates-xxxs-t2,Warming Plates XXXS T2,COUNTERMEASURES,2,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Warming Plates XXXS T1,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,5,FALSE
countermeasure-warming-plates-xxxs-t3,Warming Plates XXXS T3,COUNTERMEASURES,3,300,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Warming Plates XXXS T2,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,6,FALSE
countermeasure-warming-plates-xxxs-t4,Warming Plates XXXS T4,COUNTERMEASURES,4,600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Warming Plates XXXS T3,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,7,FALSE
countermeasure-warming-plates-xxxs-t5,Warming Plates XXXS T5,COUNTERMEASURES,5,1200,Volcanic Planet;Ice Planet,USTUR,,,,Warming Plates XXXS T4,1,Heating Element,1,Thermal Distribution,1,,,,,,,,,,,,,complete,,8,FALSE
drone-armstrong-imp-tink,Armstrong IMP Tink,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Mining Controller,1,Extraction Beam,1,Material Processor,1,Industrial Control Matrix,1,,,,,,,,,complete,,5,FALSE
drone-armstrong-imp-tote,Armstrong IMP Tote,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Cargo Container,1,Propulsion Core,1,Navigation Coordination Hub,1,Capacity Management System,1,,,,,,,,,complete,,7,FALSE
drone-busan-dust-draw,Busan Dust Draw,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Material Processor,1,Industrial Control Matrix,1,Absorption Matrix,1,Suppression System,1,Drywater,1,,,,,,,complete,,5,FALSE
drone-calico-medrone,Calico Medrone,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Repair Nanobots,1,Bio Monitor,1,Life Support Core,1,Service Coordination Hub,1,Drywater,1,,,,,,,complete,,7,FALSE
drone-calico-xpl,Calico XPL,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Sensor Module,1,Advanced Control Matrix,1,Detection Matrix,1,Signal Processor,1,,,,,,,,,complete,,7,FALSE
drone-fimbul-ecos-crybot,Fimbul ECOS Crybot,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Superchill Payload Kit,1,Cryogenic Core,1,Thermal Management System,1,Fire Control Matrix,1,Drywater,1,,,,,,,complete,,7,FALSE
drone-fimbul-ecos-spybot,Fimbul ECOS Spybot,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Sensor Module,1,Advanced Control Matrix,1,Holographic Projector,1,Signal Mimicry,1,Ink,1,,,,,,,complete,,7,FALSE
drone-fimbul-naga,Fimbul Naga,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Kinetic Payload Kit,1,Fire Control Matrix,1,Weapon Housing,1,Explosive Payload Kit,1,,,,,,,,,complete,,7,FALSE
drone-fimbul-naga-pew,Fimbul Naga Pew,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Energy Payload Kit,1,Fire Control Matrix,1,Weapon Housing,1,Charge Controller,1,,,,,,,,,complete,,7,FALSE
drone-fimbul-scrapup,Fimbul Scrapup,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,Tow Assembly,1,Industrial Control Matrix,1,Extraction Beam,1,Material Processor,1,,,,,,,,,complete,,5,FALSE
drone-fimbul-zap,Fimbul Zap,DRONE,5,,All Types,MUD;ONI;USTUR,,,,Drone Controller,1,EMP Payload Kit,1,EMP Matrix Core,1,Electromagnetic Resonator,1,Fire Control Matrix,1,Drywater,1,,,,,,,complete,,7,FALSE
