OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,Usage Category,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35
ship-component-rescue-rig-xxs-t1,Rescue Rig XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xxs-t2,Rescue Rig XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Rescue Rig XXS T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xxs-t3,Rescue Rig XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig XXS T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xxs-t4,Rescue Rig XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig XXS T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xxs-t5,Rescue Rig XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig XXS T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xs-t1,Rescue Rig XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xs-t2,Rescue Rig XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Rescue Rig XS T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xs-t3,Rescue Rig XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig XS T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xs-t4,Rescue Rig XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig XS T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-xs-t5,Rescue Rig XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig XS T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-s-t1,Rescue Rig S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,,,
ship-component-rescue-rig-s-t2,Rescue Rig S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Rescue Rig S T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-s-t3,Rescue Rig S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig S T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-s-t4,Rescue Rig S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig S T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-s-t5,Rescue Rig S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig S T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-m-t1,Rescue Rig M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,,,
ship-component-rescue-rig-m-t2,Rescue Rig M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Rescue Rig M T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-m-t3,Rescue Rig M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig M T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-m-t4,Rescue Rig M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig M T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-m-t5,Rescue Rig M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig M T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-l-t1,Rescue Rig L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,3,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,,,
ship-component-rescue-rig-l-t2,Rescue Rig L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Rescue Rig L T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-rescue-rig-l-t3,Rescue Rig L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig L T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-rescue-rig-l-t4,Rescue Rig L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig L T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-rescue-rig-l-t5,Rescue Rig L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig L T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-rescue-rig-cap-t1,Rescue Rig CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,3,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,,,
ship-component-rescue-rig-cap-t2,Rescue Rig CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig CAP T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-rescue-rig-cap-t3,Rescue Rig CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig CAP T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-rescue-rig-cap-t4,Rescue Rig CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig CAP T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-rescue-rig-cap-t5,Rescue Rig CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,8,Rescue Rig CAP T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-rescue-rig-cmd-t1,Rescue Rig CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,,,
ship-component-rescue-rig-cmd-t2,Rescue Rig CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Rescue Rig CMD T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-rescue-rig-cmd-t3,Rescue Rig CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig CMD T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-rescue-rig-cmd-t4,Rescue Rig CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig CMD T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-rescue-rig-cmd-t5,Rescue Rig CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,8,Rescue Rig CMD T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
ship-component-rescue-rig-class8-t1,Rescue Rig CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,,,
ship-component-rescue-rig-class8-t2,Rescue Rig CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig CLASS8 T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-rescue-rig-class8-t3,Rescue Rig CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig CLASS8 T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-rescue-rig-class8-t4,Rescue Rig CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,8,Rescue Rig CLASS8 T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-rescue-rig-class8-t5,Rescue Rig CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,9,Rescue Rig CLASS8 T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,,,,,,,,
ship-component-rescue-rig-ttn-t1,Rescue Rig TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,,,
ship-component-rescue-rig-ttn-t2,Rescue Rig TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Rescue Rig TTN T1,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-rescue-rig-ttn-t3,Rescue Rig TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Rescue Rig TTN T2,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-rescue-rig-ttn-t4,Rescue Rig TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,8,Rescue Rig TTN T3,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-rescue-rig-ttn-t5,Rescue Rig TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,9,Rescue Rig TTN T4,1,Life Support Core,1,Utility Controller,1,Emergency Beacon,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,Gigascale Architecture,1,Titan Structural Matrix,1,,,,,,
ship-component-missile-bay-xxs-t1,Bay XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,,,
ship-component-missile-bay-xxs-t2,Bay XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Bay XXS T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xxs-t3,Bay XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay XXS T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xxs-t4,Bay XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay XXS T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xxs-t5,Bay XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay XXS T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xs-t1,Bay XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,,,
ship-component-missile-bay-xs-t2,Bay XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Bay XS T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xs-t3,Bay XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay XS T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xs-t4,Bay XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay XS T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-xs-t5,Bay XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay XS T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-s-t1,Bay S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,,,
ship-component-missile-bay-s-t2,Bay S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Bay S T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-s-t3,Bay S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay S T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-s-t4,Bay S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay S T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-s-t5,Bay S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay S T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-m-t1,Bay M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,2,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,,,
ship-component-missile-bay-m-t2,Bay M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Bay M T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-m-t3,Bay M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay M T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-m-t4,Bay M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay M T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-m-t5,Bay M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay M T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-l-t1,Bay L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,3,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,,,
ship-component-missile-bay-l-t2,Bay L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Bay L T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-missile-bay-l-t3,Bay L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay L T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-missile-bay-l-t4,Bay L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay L T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-missile-bay-l-t5,Bay L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay L T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,,,,,,,,,,,,,,
ship-component-missile-bay-cap-t1,Bay CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,3,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,,,
ship-component-missile-bay-cap-t2,Bay CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay CAP T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-missile-bay-cap-t3,Bay CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,6,Bay CAP T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-missile-bay-cap-t4,Bay CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,7,Bay CAP T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-missile-bay-cap-t5,Bay CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,8,Bay CAP T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,,,,,,,,,,,,
ship-component-missile-bay-cmd-t1,Bay CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,4,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,,,
ship-component-missile-bay-cmd-t2,Bay CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,Ship Components,5,Bay CMD T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Structural Reinforcement Grid,1,Architectural Framework,1,Megastructure Support System,1,,,,,,,,,,
