OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9
bio-monitor,Bio Monitor,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Sensor Elements,1,Inert Gas Canisters,1,Copper,1,Monitoring Circuits,1,,,,,,,,,,
burst-actuator,Burst Actuator,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Osmium,1,Energy Cells,1,Rhenium,1,,,,,,,,,,,,
cannon-breech,Cannon Breech,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Germanium Ingot,1,Tantalum,1,Heavy Alloy,1,,,,,,,,,,,,
cargo-container,Cargo Container,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Tin,1,Insulation Material,1,Nitrogen,1,,,,,,,,,,,,
charge-controller,Charge Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Tritium,1,Neodymium Magnets,1,Silicon Wafers,1,,,,,,,,,,,,
fuel-storage-tank,Fuel Storage Tank,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Tank Shell,1,Alloy Frame,1,Hydrocarbon,1,,,,,,,,,,,,
connection-assembly,Connection Assembly,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Utility Conduit,1,Gas Stabilizer,1,Copper,1,,,,,,,,,,,,
detection-matrix,Detection Matrix,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,4,Processing Core,1,Copper Wire,1,,,,,,,,,,,,,,
detonation-matrix,Detonation Matrix,INGREDIENT,2,120,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Precision Detonator,1,Energy Absorption Core,1,Control Circuit,1,,,,,,,,,,,,
diagnostic-suite,Diagnostic Suite,INGREDIENT,2,120,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Advanced Sensor Grid,1,Processing Core,1,Boron Composite,1,Electronics,1,,,,,,,,,,
dispersion-array,Dispersion Array,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Lumanite,1,Dispersal Gas Mix,1,,,,,,,,,,,,,,
docking-clamp,Docking Clamp,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Structural Joint,1,Zinc,1,,,,,,,,,,,,,,
drone-controller,Drone Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Processing Core,1,Copper,1,Electronics,1,,,,,,,,,,,,
emergency-beacon,Emergency Beacon,INGREDIENT,2,120,Dark Planet;Gas Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Emergency Transmitter,1,Signal Booster,1,Power Source,1,,,,,,,,,,,,
emergency-response-protocol,Emergency Response Protocol,INGREDIENT,2,120,Dark Planet;Gas Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Thermal Catalyst,1,Emergency Suppressant,1,Monitoring Circuits,1,,,,,,,,,,,,
emp-payload-kit,EMP Payload Kit,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Pulse Generator,1,Conductive Mesh,1,,,,,,,,,,,,,,
energy-distributor,Energy Distributor,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Copper Wire,2,Lumanite,1,,,,,,,,,,,,,,
energy-payload-kit,Energy Payload Kit,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Explosive Compound,1,Energy Cells,1,,,,,,,,,,,,,,
energy-regulator,Energy Regulator,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,4,Control Circuit,1,Optical Components,1,,,,,,,,,,,,,,
energy-storage-cell,Energy Storage Cell,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Storage Matrix,1,Tantalum,1,,,,,,,,,,,,,,
engine-manifold,Engine Manifold,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Flow Controller,1,Alloy Frame,1,,,,,,,,,,,,,,
environmental-control,Environmental Control,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Gas Circulation System,1,Thermal Control Unit,1,Electronics,1,,,,,,,,,,,,
explosive-payload-kit,Explosive Payload Kit,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Blast Charges,1,Monitoring Circuits,1,,,,,,,,,,,,,,
extraction-beam,Extraction Beam,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Beam Emitter,1,Utility Conduit,1,Optical Components,1,,,,,,,,,,,,
field-projector,Field Projector,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Field Coils,1,Processing Core,1,,,,,,,,,,,,,,
fire-detector,Fire Detector,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Heat Sensor,1,Copper Wire,1,,,,,,,,,,,,,,
power-generator,Power Generator,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Power Source,1,Generator Coils,1,,,,,,,,,,,,,,
fuel-transfer-system,Fuel Transfer System,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Pump Assembly,1,Transfer Lines,1,,,,,,,,,,,,,,
graviton-emitter,Graviton Emitter,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Exotic Matter Core,1,Field Coils,1,,,,,,,,,,,,,,
gray-goo-payload-kit,Gray Goo Payload Kit,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Nanomaterial Base,1,Replication Catalyst,1,,,,,,,,,,,,,,
grounding-system,Grounding System,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Ground Plate,1,Lightning Rod,1,,,,,,,,,,,,,,
habitat-module,Habitat Module,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Life Support Core,1,Structural Shell,1,,,,,,,,,,,,,,
healing-protocol,Healing Protocol,INGREDIENT,2,120,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Medical Nanites,1,Bio Stabilizer,1,Sensor Elements,1,,,,,,,,,,,,
heat-payload-kit,Heat Payload Kit,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Thermal Charges,1,Incendiary Mix,1,,,,,,,,,,,,,,
holographic-projector,Holographic Projector,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Hologram Generator,1,Projection Matrix,1,,,,,,,,,,,,,,
ignition-system,Ignition System,INGREDIENT,2,120,Dark Planet;Ice Giant;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,2,Ignition Core,1,Fuel Primer,1,Radiant Dust,1,,,,,,,,,,,,
industrial-control-matrix,Industrial Control Matrix,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Industrial Processor,1,Control Interface,1,Electronics,1,,,,,,,,,,,,
signal-decoder,Signal Decoder,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Silicon Wafers,1,Tantalum,1,,,,,,,,,,,,,,
signal-processor,Signal Processor,INGREDIENT,2,120,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Signal Amplifier Array,1,Processing Matrix,1,Control Circuit,1,,,,,,,,,,,,
kinetic-payload-kit,Kinetic Payload Kit,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet,MUD;ONI;USTUR,3,Kinetic Projectiles,1,Impact Charges,1,,,,,,,,,,,,,,
launch-mechanism,Launch Mechanism,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Launch Rails,1,Magnetic Accelerator,1,,,,,,,,,,,,,,
life-support-core,Life Support Core,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Nitrogen,1,Thermal Control Unit,1,,,,,,,,,,,,,,
loading-mechanism,Loading Mechanism,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Loader Assembly,1,Lifting Mechanism,1,,,,,,,,,,,,,,
magnetic-clamp,Magnetic Clamp,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Magnetic Gripper,1,Structural Anchor,1,Neodymium Magnets,1,,,,,,,,,,,,
material-processor,Material Processor,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Processing Chamber,1,Extraction Tools,1,Insulation Material,1,,,,,,,,,,,,
megastructure-support-system,Megastructure Support System,INGREDIENT,4,240,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Kinetic Support Matrix,1,Structural Coupling System,1,Reinforcement Matrix,1,Multi-System Coordinator,1,Steel,1,,,,,,,,
mining-controller,Mining Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Mining Interface,1,Control Circuit,1,Electronics,1,,,,,,,,,,,,
missile-guidance-core,Missile Guidance Core,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Guidance Processor,1,Thermal Tracker,1,Kinetic Stabilizer,1,Targeting Array,1,,,,,,,,,,
multisystem-coordinator,Multi-System Coordinator,INGREDIENT,3,180,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Coordination Matrix,1,Power Distribution Network,1,Signal Processor,1,,,,,,,,,,,,
photon-payload-kit,Photon Payload Kit,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Photon Emitters,1,Energy Focuser,1,,,,,,,,,,,,,,
insulation-layer,Insulation Layer,INGREDIENT,2,120,Dark Planet;Ice Giant;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Electromagnetic Barrier,1,Interference Shield,1,Boron Composite,1,,,,,,,,,,,,
power-distribution-network,Power Distribution Network,INGREDIENT,2,120,Barren Planet;Dark Planet;Gas Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Power Router,1,Grid Controller,1,Copper Wire,2,Electromagnet,1,,,,,,,,,,
propulsion-core,Propulsion Core,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Thrust Chamber,1,Fuel Injector,1,,,,,,,,,,,,,,
propulsion-unit,Propulsion Unit,INGREDIENT,2,120,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Multi-Drive Core,1,Weapon Catalyst,1,Heat Dissipator,1,,,,,,,,,,,,
protective-layer,Protective Layer,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Barrier Material,1,Protective Coating,1,,,,,,,,,,,,,,
proximity-sensor,Proximity Sensor,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Proximity Detector,1,Signal Decoder,1,,,,,,,,,,,,,,
pyrotechnic-charge,Pyrotechnic Charge,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Pyrotechnic Material,1,Dispersal Mechanism,1,,,,,,,,,,,,,,
radiation-shield,Radiation Shield,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Radiation Blocker,1,Shield Framework,1,,,,,,,,,,,,,,
radiator-assembly,Radiator Assembly,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Heat Dissipator,1,Coolant Circulator,1,Alloy Frame,1,,,,,,,,,,,,
rapidfire-controller,Rapidfire Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Rapid Cycle Timer,1,Energy Burst Controller,1,,,,,,,,,,,,,,
reinforcement-matrix,Reinforcement Matrix,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Reinforcement Lattice,1,Structural Brace,1,Joint Connectors,1,,,,,,,,,,,,
repair-nanobots,Repair Nanobots,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Nanomaterial Base,1,Repair Protocol,1,,,,,,,,,,,,,,
safety-valve,Safety Valve,INGREDIENT,2,120,Barren Planet;Ice Giant;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Pressure Relief,1,Safety Shutoff,1,Flow Controller,1,,,,,,,,,,,,
scatterfire-controller,Scatterfire Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Scatter Pattern Generator,1,Energy Distributor,1,,,,,,,,,,,,,,
sensor-module,Sensor Module,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Sensor Array,1,Signal Booster,1,,,,,,,,,,,,,,
shield-emitter,Shield Emitter,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Shield Generator,1,Energy Modulator,1,,,,,,,,,,,,,,
shockwave-payload-kit,Shockwave Payload Kit,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Explosive Core,1,Pressure Wave Generator,1,,,,,,,,,,,,,,
signal-mimicry,Signal Mimicry,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Signal Recorder,1,Transmission Unit,1,,,,,,,,,,,,,,
structural-framework,Structural Framework,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Load Bearing Beams,1,Joint Connectors,1,,,,,,,,,,,,,,
structural-reinforcement-grid,Structural Reinforcement Grid,INGREDIENT,4,240,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Structural Control Array,1,Utility Scaling Framework,1,Defense Integration System,1,Connection Assembly,1,,,,,,,,,,
subspace-conduit,Subspace Conduit,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Subspace Coils,1,Dimensional Stabilizer,1,,,,,,,,,,,,,,
heat-exchanger,Heat Exchanger,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Heat Exchange Coils,1,Thermal Transfer Matrix,1,,,,,,,,,,,,,,
heating-element,Heating Element,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Resistive Coils,1,Heat Distribution Grid,1,,,,,,,,,,,,,,
safety-interlock,Safety Interlock,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Interlock Mechanism,1,Safety Buffer,1,Monitoring Circuits,1,,,,,,,,,,,,
structural-foundation,Structural Foundation,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Foundation Anchor,1,Base Structure,1,,,,,,,,,,,,,,
thermal-management-system,Thermal Management System,INGREDIENT,3,180,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Thermal Core Assembly,1,Temperature Control,1,Radiator Assembly,1,Aerogel,1,,,,,,,,,,
superchill-payload-kit,Superchill Payload Kit,INGREDIENT,1,60,System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,2,Cryogenic Catalyst,1,Freeze Dispersal Unit,1,,,,,,,,,,,,,,
suppression-system,Suppression System,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Fire Suppressant,1,Spray Nozzles,1,,,,,,,,,,,,,,
temperature-control,Temperature Control,INGREDIENT,2,120,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Climate Controller,1,Temperature Regulator,1,Thermal Control Unit,1,,,,,,,,,,,,
thermal-distribution,Thermal Distribution,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Heat Circulation Pipes,1,Thermal Transfer Matrix,1,,,,,,,,,,,,,,
thermal-regulator,Thermal Regulator,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Temperature Sensor,1,Heat Distribution Grid,1,,,,,,,,,,,,,,
thrust-vectoring-array,Thrust Vectoring Array,INGREDIENT,2,120,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Vector Controller,1,Thrust Modulator,1,Field Coils,1,,,,,,,,,,,,
titan-defense-network,Titan Defense Network,INGREDIENT,5,300,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,7,Advanced Defense Core,1,Advanced Defense Matrix,1,Radiation Control System,1,EMP Protection Matrix,1,Defense Integration System,1,,,,,,,,
titan-utility-core,Titan Utility Core,INGREDIENT,5,300,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,7,Utility Integration Core,1,Service Coordination Hub,1,Capacity Management System,1,Emergency Response Matrix,1,Storage Coordination System,1,,,,,,,,
tow-assembly,Tow Assembly,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Tow Cable,1,Winch Mechanism,1,,,,,,,,,,,,,,
utility-controller,Utility Controller,INGREDIENT,1,60,Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Utility Interface,1,Command Module,1,,,,,,,,,,,,,,
utility-scaling-framework,Utility Scaling Framework,INGREDIENT,3,180,Dark Planet;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Scaling Interface,1,Reinforcement Matrix,1,Connection Assembly,1,,,,,,,,,,,,
warp-field-generator,Warp Field Generator,INGREDIENT,1,60,Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,3,Warp Coils,1,Field Harmonizer,1,,,,,,,,,,,,,,
weapon-housing,Weapon Housing,INGREDIENT,2,120,Dark Planet;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Weapon Frame,1,EM Shielding,1,Structural Shell,1,,,,,,,,,,,,
target-coordination-system,Target Coordination System,INGREDIENT,4,240,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Weapon Targeting Core,1,Sensor Coordination Hub,1,Processing Control Matrix,1,Signal Processor,1,,,,,,,,,,
assembly-integration-matrix,Assembly Integration Matrix,INGREDIENT,5,300,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Assembly Control Matrix,1,Processing Control Matrix,1,Multi-System Coordinator,1,Deployment Control System,1,Resource Processing Hub,1,,,,,,,,
power-regulation-module,Power Regulation Module,INGREDIENT,2,120,Gas Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Voltage Regulator,1,Current Limiter,1,Control Circuit,1,,,,,,,,,,,,
defense-integration-system,Defense Integration System,INGREDIENT,3,180,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Defense Integration Core,1,Absorption Matrix,1,Signal Processor,1,Crystal Lattice,1,,,,,,,,,,
fire-control-matrix,Fire Control Matrix,INGREDIENT,4,240,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Fire Control Core,1,Flare Control Matrix,1,Ammunition Control Matrix,1,Mine Control System,1,,,,,,,,,,
energy-coordination-system,Energy Coordination System,INGREDIENT,3,180,Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,5,Energy Management Hub,1,Energy Distributor,1,Power Regulation Module,1,Crystal Lattice,1,,,,,,,,,,
cooling-distribution-network,Cooling Distribution Network,INGREDIENT,3,180,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Cooling Network Hub,1,Temperature Control,1,Power Coupling,1,,,,,,,,,,,,
megastructural-framework,Megastructural Framework,INGREDIENT,4,240,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,7,Mega Framework Core,1,Thermal Management System,1,Storage Coordination Hub,1,Emergency Response Matrix,1,,,,,,,,,,
titan-support-matrix,Titan Support Matrix,INGREDIENT,5,300,Barren Planet;Dark Planet;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Titan Support Core,1,Structural Coupling System,1,Utility Scaling Framework,1,Connection Assembly,1,Reinforcement Matrix,1,,,,,,,,
warp-control-system,Warp Control System,INGREDIENT,3,180,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Warp Control Core,1,Exotic Matter Stabilizer,1,Power Coupling Array,1,Field Stabilizer,1,,,,,,,,,,
advanced-defense-matrix,Advanced Defense Matrix,INGREDIENT,4,240,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Defense Coordination Core,1,Defense Integration System,1,Radiation Absorber,1,EMP Protection Matrix,1,,,,,,,,,,
advanced-power-grid,Advanced Power Grid,INGREDIENT,4,240,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Power Management Core,1,Energy Coordination System,1,Capacitor Control Matrix,1,Power Distribution Network,2,Energy Substrate,1,,,,,,,,
navigation-coordination-hub,Navigation Coordination Hub,INGREDIENT,4,240,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Navigation Control Core,1,Maneuver Control System,1,Warp Control System,1,Fuel Management System,1,Beam Control Interface,1,Energy Substrate,1,,,,,,
defense-coordination-node,Defense Coordination Node,INGREDIENT,3,180,Dark Planet;Gas Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Defense Command Node,1,Healing Protocol,1,Emergency Beacon,1,,,,,,,,,,,,
maneuver-control-system,Maneuver Control System,INGREDIENT,3,180,Barren Planet;Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,4,Maneuver Control Core,1,Thrust Vectoring Array,1,Safety Valve,1,Steel,1,,,,,,,,,,
advanced-control-matrix,Advanced Control Matrix,INGREDIENT,4,240,Dark Planet;Gas Giant;Ice Giant;Oceanic Planet;System Asteroid Belt;Terrestrial Planet;Volcanic Planet,MUD;ONI;USTUR,6,Control System Core,1,Sensor Coordination Hub,1,EMP Protection Matrix,1,Processing Control Matrix,1,Energy Substrate,1,,,,,,,,
