OutputID	OutputName	OutputType	OutputTier	BuildingResourceTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8
oceanic-phase-shift-crystals-extractor-t3	Phase Shift Crystals Extractor	BUILDING	3	3	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Boron Composite	29	Chromite Ingot	28	Climate Controller	23	Cobalt	21						
oceanic-phase-shift-crystals-extractor-t4	Phase Shift Crystals Extractor	BUILDING	4	3	100	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Boron Composite	35	Chromite Ingot	34	Climate Controller	28	Cobalt	26	Beryllium Matrix	17				
oceanic-phase-shift-crystals-extractor-t5	Phase Shift Crystals Extractor	BUILDING	5	3	80	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Boron Composite	42	Chromite Ingot	41	Climate Controller	34	Cobalt	32	Beryllium Matrix	21	Manganese	25		
oceanic-abyssal-energy-crystals-extractor-t1	Abyssal Energy Crystals Extractor	BUILDING	1	4	300	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Boron Composite	20	Climate Controller	17										
oceanic-abyssal-energy-crystals-extractor-t2	Abyssal Energy Crystals Extractor	BUILDING	2	4	250	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Boron Composite	24	Climate Controller	21	Cobalt	19								
oceanic-abyssal-energy-crystals-extractor-t3	Abyssal Energy Crystals Extractor	BUILDING	3	4	200	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Boron Composite	29	Climate Controller	26	Cobalt	23	Manganese	21						
oceanic-abyssal-energy-crystals-extractor-t4	Abyssal Energy Crystals Extractor	BUILDING	4	4	160	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Boron Composite	35	Climate Controller	32	Cobalt	28	Manganese	26	Utility Core	21				
oceanic-abyssal-energy-crystals-extractor-t5	Abyssal Energy Crystals Extractor	BUILDING	5	4	120	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Boron Composite	42	Climate Controller	39	Cobalt	34	Manganese	32	Utility Core	26	Beryllium Matrix	19		
oceanic-lunar-echo-crystals-extractor-t1	Lunar Echo Crystals Extractor	BUILDING	1	5	480	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	21	Beryllium Matrix	14	Utility Core	15										
oceanic-lunar-echo-crystals-extractor-t2	Lunar Echo Crystals Extractor	BUILDING	2	5	400	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	26	Beryllium Matrix	17	Utility Core	18	Abyssal Energy Core	15								
oceanic-lunar-echo-crystals-extractor-t3	Lunar Echo Crystals Extractor	BUILDING	3	5	320	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	32	Beryllium Matrix	21	Utility Core	22	Abyssal Energy Core	18	Deployment Interface	19						
oceanic-lunar-echo-crystals-extractor-t4	Lunar Echo Crystals Extractor	BUILDING	4	5	250	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	39	Beryllium Matrix	26	Utility Core	27	Abyssal Energy Core	22	Deployment Interface	23	Electromagnetic Resonator	19				
oceanic-lunar-echo-crystals-extractor-t5	Lunar Echo Crystals Extractor	BUILDING	5	5	200	Oceanic Planet	MUD;ONI;USTUR	Extraction		Aerogel	47	Beryllium Matrix	32	Utility Core	33	Abyssal Energy Core	27	Deployment Interface	28	Electromagnetic Resonator	23	EM Bio Core	19		
oceanic-bioluminous-algae-farm-t1	Bioluminous Algae Farm	BUILDING	1	2	90	Oceanic Planet	MUD;ONI;USTUR	Farm		Boron Composite	23	Chromite Ingot	22	Climate Controller	17										
oceanic-bioluminous-algae-farm-t2	Bioluminous Algae Farm	BUILDING	2	2	75	Oceanic Planet	MUD;ONI;USTUR	Farm		Boron Composite	28	Chromite Ingot	27	Climate Controller	21	Cobalt	19								
oceanic-bioluminous-algae-farm-t3	Bioluminous Algae Farm	BUILDING	3	2	60	Oceanic Planet	MUD;ONI;USTUR	Farm		Boron Composite	34	Chromite Ingot	33	Climate Controller	26	Cobalt	23	Manganese	21						
oceanic-bioluminous-algae-farm-t4	Bioluminous Algae Farm	BUILDING	4	2	50	Oceanic Planet	MUD;ONI;USTUR	Farm		Boron Composite	41	Chromite Ingot	40	Climate Controller	32	Cobalt	28	Manganese	26	Aerogel	21				
oceanic-bioluminous-algae-farm-t5	Bioluminous Algae Farm	BUILDING	5	2	40	Oceanic Planet	MUD;ONI;USTUR	Farm		Boron Composite	50	Chromite Ingot	48	Climate Controller	39	Cobalt	34	Manganese	32	Aerogel	26	Utility Core	23		
oceanic-marine-bio-extract-farm-t1	Marine Bio Extract Farm	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Farm		Chromite Ingot	25	Cryogenic Catalyst	22	Dimensional Stabilizer	19										
oceanic-marine-bio-extract-farm-t2	Marine Bio Extract Farm	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Farm		Chromite Ingot	30	Cryogenic Catalyst	27	Dimensional Stabilizer	23	Dispersal Gas Mix	21								
oceanic-marine-bio-extract-farm-t3	Marine Bio Extract Farm	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Farm		Chromite Ingot	36	Cryogenic Catalyst	33	Dimensional Stabilizer	28	Dispersal Gas Mix	26	Dispersal Mechanism	23						
oceanic-marine-bio-extract-farm-t4	Marine Bio Extract Farm	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Farm		Chromite Ingot	44	Cryogenic Catalyst	40	Dimensional Stabilizer	34	Dispersal Gas Mix	32	Dispersal Mechanism	28	Aerogel	21				
oceanic-marine-bio-extract-farm-t5	Marine Bio Extract Farm	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Farm		Chromite Ingot	53	Cryogenic Catalyst	48	Dimensional Stabilizer	41	Dispersal Gas Mix	39	Dispersal Mechanism	34	Aerogel	26	Boron Composite	25 
